ID,Homepage,Homepage _Duration,Aboutus,Aboutus_Duration,Contactus,Contactus_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Province,TrafficType,VisitorType,Weekend
78,1,7,2,562,36,1300.190476,0.010810811,0.038738739,0,0,Mar,2,2,1,1,Returning_Visitor,TRUE
79,4,71.33333333,0,0,21,295.3333333,0.016666667,0.058333333,0,0,Jul,2,10,3,2,Returning_Visitor,TRUE
80,0,0,0,0,5,270.5833333,0.04,0.07,0,0,Dec,1,1,5,8,Returning_Visitor,TRUE
81,0,0,0,0,2,30.5,0,0.05,0,0,Mar,3,2,4,10,Returning_Visitor,FALSE
82,8,246.5,0,0,74,2326.666667,0,0.002597403,5.015272727,0,May,2,4,3,2,New_Visitor,FALSE
83,0,0,0,0,15,263.25,0.013333333,0.04,0,0,Nov,1,1,3,10,Returning_Visitor,TRUE
84,4,56,1,88,22,1734.780952,0,0.010142857,0,0,Mar,3,2,3,9,Returning_Visitor,TRUE
85,2,180.9,0,0,26,1030.06,0,0.005952381,0,0,Aug,3,2,6,2,New_Visitor,FALSE
86,0,0,0,0,7,96,0,0.025,54.20146753,0,Nov,2,2,1,2,New_Visitor,FALSE
87,0,0,0,0,7,98.5,0.071428571,0.1,0,0,Mar,1,1,6,1,Returning_Visitor,FALSE
88,0,0,0,0,25,1320.5,0,0.030666667,0,0.8,May,2,10,1,1,Returning_Visitor,FALSE
89,1,4,0,0,47,2386.066667,0.004444444,0.030864198,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE
90,0,0,0,0,15,638.6428571,0.003571429,0.053571429,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE
91,4,292.1904762,1,194.5,56,1948.713745,0.001724138,0.021055381,14.69293103,0,May,1,2,3,2,Returning_Visitor,FALSE
92,0,0,0,0,3,106.5,0,0.033333333,0,0,May,3,2,2,13,Returning_Visitor,FALSE
93,1,112.8,0,0,8,543.7333333,0,0.011111111,28.69843548,0,Oct,1,1,6,2,New_Visitor,TRUE
94,0,0,0,0,4,121.5,0,0.05,0,0,Nov,1,1,4,8,Returning_Visitor,FALSE
95,0,0,0,0,4,44.4,0,0.05,0,0,June,2,10,1,3,Returning_Visitor,FALSE
96,1,72.6,0,0,44,1256.825,0,0,0,0,Nov,1,1,4,5,New_Visitor,FALSE
97,6,239.3333333,0,0,31,1875.169444,0,0.025324675,21.85958403,0,Nov,1,1,1,2,Returning_Visitor,FALSE
98,0,0,0,0,29,1102.85,0.009195402,0.028275862,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE
99,12,155.6,6,282,52,1283.052597,0.024747475,0.039201413,12.07468889,0,May,1,1,3,2,Returning_Visitor,FALSE
100,0,0,0,0,3,79,0,0.033333333,0,0,Nov,1,2,1,1,Returning_Visitor,FALSE
101,1,216.6,0,0,34,1463.8,0.006060606,0.007575758,0,0,Nov,1,1,8,2,Returning_Visitor,FALSE
102,2,310.8571429,3,27,68,2950.62381,0.009589041,0.023074581,16.6702274,0,May,2,2,7,6,Returning_Visitor,FALSE
103,22,438.3309524,3,703.5,178,6241.687398,0.002878526,0.016885589,2.038399449,0,Nov,2,2,1,10,Returning_Visitor,FALSE
104,1,14.2,0,0,22,839.568189,0,0.000952381,60.58437066,0,Nov,3,2,3,2,New_Visitor,TRUE
105,4,190,0,0,53,1328.626894,0.017857143,0.022238793,0,0,Dec,1,1,1,10,Returning_Visitor,TRUE
106,0,0,0,0,23,647.1428571,0.004347826,0.022222222,0,0,Nov,1,8,1,11,Returning_Visitor,TRUE
107,0,0,0,0,30,1281,0.006666667,0.02,0,0,Mar,2,4,2,1,Returning_Visitor,FALSE
108,3,78,0,0,27,672.5833333,0.0125,0.039583333,8.07853125,0,May,2,2,4,4,Returning_Visitor,FALSE
109,0,0,0,0,13,737.1666667,0.038461538,0.084615385,0,0,Nov,3,2,3,13,Returning_Visitor,FALSE
110,1,0,0,0,2,66.5,0,0.1,0,0,Dec,2,2,9,2,Returning_Visitor,TRUE
111,4,251,9,172,64,4326.666667,0.008552632,0.024502924,0,0,Dec,2,2,4,2,Returning_Visitor,FALSE
112,5,69.6,3,53,6,92.7,0,0.02,0,0,Jul,2,6,1,3,New_Visitor,TRUE
113,0,0,0,0,1,0,0.2,0.2,0,0,May,1,1,4,3,Returning_Visitor,FALSE
114,0,0,0,0,13,323.3,0.084615385,0.102564103,0,0,June,3,2,1,1,Returning_Visitor,FALSE
115,0,0,0,0,1,0,0.2,0.2,0,0,May,3,2,3,1,Returning_Visitor,FALSE
116,0,0,0,0,1,0,0.2,0.2,0,0.4,May,1,1,1,3,Returning_Visitor,FALSE
117,0,0,0,0,54,3978.245833,0.003846154,0.024807692,0,0,Nov,2,2,6,1,Returning_Visitor,TRUE
118,9,184,5,61,68,1986.251515,0,0.009553204,17.19611523,0,May,2,6,2,3,Returning_Visitor,FALSE
119,4,32,1,43.5,311,12500.35306,0.001387656,0.014687275,0,0,Nov,2,2,7,2,Returning_Visitor,FALSE
120,1,82,0,0,59,1927.122222,0.007909605,0.023728814,23.87629104,0,May,2,2,9,13,Returning_Visitor,FALSE
121,2,10.77142857,0,0,70,2094.138889,0.023611111,0.05224537,0,0,Jul,2,2,3,1,Returning_Visitor,FALSE
122,2,146,2,52.25,1,0,0,0.04,0,0,Dec,1,1,1,2,Returning_Visitor,FALSE
123,1,5,0,0,13,545.5714286,0.013333333,0.020784314,26.12015415,0,Mar,2,2,3,2,Returning_Visitor,TRUE
124,0,0,0,0,4,331,0.05,0.1,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
125,1,37,0,0,30,1584.3,0,0.01547619,3.356892857,0,May,3,2,9,4,Returning_Visitor,TRUE
126,0,0,0,0,21,1535,0.01,0.048333333,0,0,Nov,2,2,7,3,Returning_Visitor,FALSE
127,6,160.0952381,3,94.5,47,1682.870247,0.001333333,0.007891429,5.698642857,0,Mar,3,2,6,10,Returning_Visitor,FALSE
128,6,125.5,0,0,19,1409.416667,0.002469136,0.023703704,0,0,Mar,1,8,3,2,Returning_Visitor,FALSE
129,5,39,2,12,15,158,0,0.02010582,0,0,May,2,2,9,4,Returning_Visitor,FALSE
130,2,24,0,0,28,1206.614719,0,0.023222222,5.417644444,0,Mar,2,2,1,2,Returning_Visitor,FALSE
131,0,0,1,83,16,223,0,0.023529412,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE
132,6,141.0583333,0,0,46,1728.866268,0,0.019059741,0,0,June,2,2,7,4,Returning_Visitor,FALSE
133,2,229.5,0,0,31,1909.232143,0.0125,0.034375,17.15249937,0,Dec,2,2,3,8,Returning_Visitor,FALSE
134,0,0,0,0,12,70,0.15,0.166666667,0,0.4,May,1,1,3,3,Returning_Visitor,FALSE
135,1,4,0,0,18,631.6666667,0,0.027777778,56.32466667,0,May,2,2,1,3,Returning_Visitor,FALSE
136,17,195.4864719,1,60.5,94,2267.472565,0.002111614,0.008213489,4.511078764,0,Nov,3,2,3,2,Returning_Visitor,FALSE
137,0,0,0,0,5,156,0,0.04,0,0,Feb,1,1,9,3,Returning_Visitor,FALSE
138,1,6,0,0,16,608.8333333,0.011764706,0.026666667,52.70052142,0,Mar,3,2,1,11,Returning_Visitor,FALSE
139,5,224.5833333,5,84,15,674.247619,0.008695652,0.013043478,0,0,May,3,2,4,2,Returning_Visitor,FALSE
140,0,0,0,0,55,946.3636364,0.010909091,0.025454545,0,0,Nov,2,2,6,1,Returning_Visitor,TRUE
141,3,31.2,1,42.4,13,134.45,0,0.0125,0,0,Nov,2,2,6,2,New_Visitor,FALSE
142,3,44.75,0,0,7,102,0.066666667,0.074074074,0,0.4,May,3,2,2,13,Returning_Visitor,FALSE
143,0,0,0,0,2,16,0,0.1,0,0,Nov,2,2,4,8,Returning_Visitor,FALSE
144,0,0,0,0,3,144.5,0,0.1,0,0,Nov,3,2,2,2,New_Visitor,FALSE
145,4,100.75,0,0,11,221.375,0,0.015384615,0,0,Nov,2,2,3,2,New_Visitor,TRUE
146,8,125.6309524,6,75,312,13379.36658,0.002769231,0.014969192,8.055833998,0,Dec,2,2,4,2,Returning_Visitor,FALSE
147,4,40.2,1,0,12,2339.207143,0.011111111,0.036944444,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE
148,2,35.2,2,98.8,84,8365.602222,0.008914729,0.037209302,0,0,Sep,2,2,5,1,Returning_Visitor,FALSE
149,3,107.2083333,0,0,17,513.25,0,0.012030075,17.54619116,0,Nov,2,2,1,10,Returning_Visitor,FALSE
150,0,0,0,0,6,223.3333333,0,0.008333333,0,0,May,2,2,1,2,Returning_Visitor,FALSE
151,0,0,0,0,6,181,0,0.016666667,0,0,May,3,2,1,3,Returning_Visitor,FALSE
152,3,212.6,0,0,87,3898.816667,0,0.00411985,0,0,Sep,2,2,7,1,Returning_Visitor,FALSE
153,0,0,0,0,15,751.8,0.026666667,0.04,0,0,Mar,1,2,2,1,Returning_Visitor,FALSE
154,0,0,0,0,1,0,0.2,0.2,0,0,Nov,7,1,1,3,Returning_Visitor,FALSE
155,0,0,0,0,12,312.0333333,0,0.009090909,17.808,0,May,2,2,8,6,Returning_Visitor,FALSE
156,2,26.75,3,49.5,62,2964.650595,0.010769231,0.026444444,0,0,Dec,3,2,1,2,Returning_Visitor,FALSE
157,1,0,0,0,21,658.25,0.035497835,0.057482993,0,0,Nov,3,2,5,13,Returning_Visitor,FALSE
158,0,0,0,0,1,0,0.2,0.2,0,0,Nov,4,1,1,10,Returning_Visitor,TRUE
159,2,76.5,0,0,10,123.2291667,0.022857143,0.059444444,0,0,Dec,1,2,1,10,Returning_Visitor,FALSE
160,0,0,0,0,53,715.5,0.022641509,0.036298293,0,1,May,2,2,7,3,Returning_Visitor,TRUE
161,0,0,0,0,14,267.25,0,0.021428571,0,0,Nov,3,2,1,11,New_Visitor,TRUE
162,1,19,0,0,8,208,0.04,0.1,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE
163,0,0,0,0,4,112.5,0,0.05,0,0,May,3,2,1,6,Returning_Visitor,FALSE
164,0,0,0,0,5,138,0.02,0.1,0,0.8,May,2,2,1,4,Returning_Visitor,FALSE
165,0,0,0,0,25,316.5416667,0,0.02,0,0,Dec,2,2,9,1,Returning_Visitor,FALSE
166,4,106,0,0,6,180.4166667,0,0.025,0,0,Nov,3,6,3,2,New_Visitor,FALSE
167,9,227.375,4,102.25,48,2849.482143,0,0.014853801,4.741626063,0,Nov,2,2,4,2,Returning_Visitor,FALSE
168,0,0,0,0,7,1721.666667,0.038095238,0.038571429,0,0,Nov,1,1,3,3,Returning_Visitor,FALSE
169,0,0,0,0,22,815.8333333,0,0.01,0,0,May,2,4,1,1,Returning_Visitor,FALSE
170,0,0,0,0,5,277.5,0,0.04,42.03044096,0,Nov,2,2,3,2,Returning_Visitor,FALSE
171,0,0,0,0,7,56,0,0.042857143,0,1,May,2,2,3,1,Returning_Visitor,TRUE
172,2,267.8,0,0,6,616.5,0.028571429,0.038095238,0,0,Sep,3,2,3,4,Returning_Visitor,FALSE
173,0,0,0,0,8,233.6666667,0.025,0.0875,0,0,Mar,2,2,3,13,Returning_Visitor,FALSE
174,0,0,0,0,76,2854.783333,0.005866667,0.019555556,0,0,May,2,2,3,4,Returning_Visitor,FALSE
175,0,0,0,0,9,145,0.066666667,0.122222222,0,0.8,May,3,2,1,13,Returning_Visitor,FALSE
176,0,0,0,0,2,21.2,0,0.1,0,0,June,2,2,5,1,Returning_Visitor,FALSE
177,9,1294.9,1,32.66666667,37,1012.233333,0,0.006910299,33.31220592,0,Nov,2,2,1,2,Returning_Visitor,FALSE
178,0,0,0,0,12,337,0,0.006666667,19.37005896,0,Dec,2,5,4,1,Returning_Visitor,TRUE
179,0,0,0,0,5,59,0.08,0.12,0,0,Mar,2,2,7,1,Returning_Visitor,FALSE
180,5,59,0,0,3,44.66666667,0,0.025,0,0,Mar,2,4,6,2,Returning_Visitor,TRUE
181,2,64.5,0,0,24,1151.136905,0,0.0186,15.27655756,0,Dec,2,2,3,2,Returning_Visitor,FALSE
182,5,43.4,0,0,32,3121.555556,0.009259259,0.036759259,26.5455,0,May,2,4,4,2,Returning_Visitor,FALSE
183,0,0,0,0,20,526.8,0,0.010526316,104.2012273,0,Sep,2,2,1,2,Returning_Visitor,FALSE
184,7,177.25,0,0,13,297.8333333,0,0.021428571,0,0,Nov,1,2,3,2,New_Visitor,TRUE
185,3,45.5,0,0,43,1738.25,0.006349206,0.03537415,0,0,May,2,5,7,3,Returning_Visitor,FALSE
186,9,175.9333333,0,0,28,717.2190476,0.005882353,0.017058824,0,1,May,2,2,5,4,Returning_Visitor,TRUE
187,5,193,1,13,66,2049.458471,0.004489796,0.012765306,29.45815149,0,Mar,3,2,3,1,Returning_Visitor,TRUE
188,0,0,0,0,15,372.0833333,0,0.04,0,0,Nov,2,2,1,2,New_Visitor,TRUE
189,0,0,0,0,5,27.2,0,0.04,0,0,Nov,2,2,1,4,Returning_Visitor,FALSE
190,0,0,2,15,93,3646.278788,0.017204301,0.023117504,0,0,May,1,1,5,4,Returning_Visitor,FALSE
191,0,0,0,0,111,1624.75,0.013636364,0.025515152,0,0,Dec,2,2,1,2,Returning_Visitor,FALSE
192,0,0,0,0,9,11,0.155555556,0.177777778,0,0,May,2,2,2,4,Returning_Visitor,FALSE
193,5,473.1666667,2,195.4,111,4022.812148,0.003571429,0.012351425,0,0,Aug,3,2,9,5,Returning_Visitor,FALSE
194,0,0,0,0,8,272.9,0.05,0.075,0,0,Oct,1,1,1,1,New_Visitor,FALSE
195,0,0,0,0,1,0,0,0.1,0,0,May,2,2,3,18,Returning_Visitor,TRUE
196,0,0,0,0,14,320.25,0,0.013333333,52.17313647,0,Oct,2,2,1,3,Returning_Visitor,TRUE
197,8,168.1666667,0,0,70,2146.757984,0,0.009316323,67.30929078,0,Nov,2,4,5,2,Returning_Visitor,FALSE
198,2,40.2,2,26.1,10,186.7,0,0.021428571,0,0,Oct,2,2,3,3,New_Visitor,FALSE
199,5,90.875,1,15,58,2153.71859,0.007526882,0.012156298,3.97647235,0,May,3,2,1,2,Returning_Visitor,TRUE
200,0,0,0,0,1,0,0.2,0.2,0,0,Nov,3,2,4,3,Returning_Visitor,FALSE
201,15,292.88,1,48.35,130,3645.909048,0.001459854,0.008515815,10.41358118,0,Nov,2,4,8,2,Returning_Visitor,FALSE
202,0,0,0,0,3,60.5,0.1,0.1,0,0,Nov,3,2,6,6,Returning_Visitor,FALSE
203,7,122.875,0,0,22,250.0357143,0,0.03974359,0,0,Dec,2,2,1,2,New_Visitor,FALSE
204,3,103.6,0,0,1,7,0,0.04,0,0,Nov,3,2,1,5,New_Visitor,FALSE
205,0,0,0,0,5,200,0,0.05,0,0,May,3,2,1,4,Returning_Visitor,TRUE
206,8,192.4333333,2,53.4,45,1372.875238,0.004166667,0.00625,0,0,Sep,4,1,1,3,New_Visitor,FALSE
207,0,0,0,0,40,4175.75,0.048333333,0.106,0,1,May,2,2,1,3,Returning_Visitor,TRUE
208,2,47.5,1,17,40,1202.916667,0.015813953,0.048604651,0,0,Nov,2,6,1,3,Returning_Visitor,FALSE
209,0,0,0,0,5,164,0.04,0.08,0,0,May,2,2,1,3,Returning_Visitor,TRUE
210,5,37,1,16,18,463.5,0,0.004545455,0,0,May,2,5,1,6,Returning_Visitor,FALSE
211,0,0,0,0,46,2308.261905,0,0.000555556,0,0,May,2,2,7,2,New_Visitor,FALSE
212,1,19,0,0,11,501.75,0.016666667,0.033333333,55.485,0,May,2,4,4,2,Returning_Visitor,FALSE
213,1,49,0,0,4,2210.5,0,0.013333333,0,0,May,1,1,1,3,Returning_Visitor,TRUE
214,2,58,0,0,7,101.8,0,0.011111111,0,0,Mar,3,2,8,2,New_Visitor,FALSE
215,8,71.66666667,0,0,24,364.4166667,0,0.013793103,0,0.2,May,2,2,1,5,Returning_Visitor,FALSE
216,1,104,0,0,5,152.5,0.028571429,0.057142857,64.95645099,0,Dec,2,13,9,20,Returning_Visitor,FALSE
217,0,0,0,0,3,65,0.1,0.111111111,0,0,May,3,2,1,3,Returning_Visitor,FALSE
218,0,0,0,0,27,1871.9,0.014814815,0.020740741,0,0,Sep,1,1,1,3,Returning_Visitor,FALSE
219,0,0,0,0,57,820.3636364,0.035087719,0.061650605,0,0,June,3,2,3,13,Returning_Visitor,FALSE
220,0,0,0,0,9,867,0.022222222,0.051851852,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE
221,1,46.5,0,0,22,578.8106061,0.00952381,0.04021164,0,0,Dec,1,1,2,2,Returning_Visitor,FALSE
222,0,0,0,0,8,203,0.0125,0.0375,0,0,May,2,2,5,2,Returning_Visitor,TRUE
223,2,16,0,0,33,1123.242857,0.006060606,0.021969697,11.12342124,0,Mar,2,2,3,13,Returning_Visitor,FALSE
224,9,268.5,0,0,8,407.5,0,0.0275,0,0,Dec,3,2,3,8,Returning_Visitor,FALSE
225,3,171.75,3,264.1,49,1435.772114,0.01509434,0.013579188,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE
226,0,0,0,0,6,313,0,0.05,0,0,May,2,4,3,1,Returning_Visitor,FALSE
227,2,29.75,0,0,33,689.202381,0.001010101,0.027020202,0,0,Dec,2,2,2,2,Returning_Visitor,FALSE
228,4,70.4,1,645.5,82,11257.1083,0.005574913,0.019401736,0,0,Nov,2,5,1,2,Returning_Visitor,TRUE
229,5,230.25,2,135,27,517.3928571,0,0.011458333,30.269375,0,May,2,2,4,2,New_Visitor,TRUE
230,2,69,0,0,51,2103.628837,0,0.015384615,40.659727,0,Sep,2,2,4,13,Returning_Visitor,FALSE
231,0,0,0,0,14,1049.05,0,0.016666667,0,0,Nov,3,2,1,20,Returning_Visitor,FALSE
232,0,0,0,0,48,691.3572797,0.034873188,0.082209406,0,0,Nov,3,2,3,3,Returning_Visitor,FALSE
233,0,0,0,0,13,324,0,0.003030303,0,0,May,2,2,2,2,New_Visitor,TRUE
234,10,214.6214286,1,114,36,673.6380952,0.019379845,0.032443035,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE
235,15,149.0316092,2,1529.2,23,2128.704568,0.005714286,0.020425941,16.19731984,0,Oct,2,2,2,20,Returning_Visitor,FALSE
236,2,61.5,2,10,13,210,0.0125,0.03125,0,0,Dec,3,2,4,1,Returning_Visitor,FALSE
237,0,0,0,0,14,313.0178571,0,0.016071429,0,0,Nov,3,2,4,2,Returning_Visitor,FALSE
238,0,0,0,0,8,1066.25,0,0.028571429,9.0847678,0,Nov,1,8,4,11,Returning_Visitor,TRUE
239,0,0,0,0,18,644.125,0.00625,0.021924603,0,0,Mar,3,2,3,10,Returning_Visitor,FALSE
